FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
21132000000,Отходы обогащения угольного сырья флотационным методом,0,0,0,0,0,0
21132211405,Остаток обезвоживания шламовой пульпы при флотационном обогащении угольного сырья,0,0,0,0,0,0
21133000000,Отходы обогащения угольного сырья гравитационными методами,0,0,0,0,0,0
21133111205,Отходы породы при обогащении рядового угля,0,0,0,0,0,0
21133201395,Отходы (шлам) мокрой классификации угольного сырья,0,0,0,0,0,0
21133301395,Отходы породы при обогащении угольного сырья в тяжелосредных сепараторах и отсадочных машинах,0,0,0,0,0,0
21138000000,Отходы очистки оборотной воды при обогащении угольного сырья,0,0,0,0,0,0
21138121205,Отходы (осадок) флокуляционной очистки оборотной воды при обогащении угольного сырья обезвоженный,0,0,0,0,0,0
21139000000,"Прочие отходы обогащения антрацита, коксующегося, бурого и других видов угля",0,0,0,0,0,0
21139221204,Отходы зачистки отсадочных машин при обогащении угля,0,0,0,0,0,0
21171121424,Пыль газоочистки при проведении буровых работ для добычи угля,0,0,0,0,0,0
21190000000,Прочие отходы при добыче и обогащении угля,0,0,0,0,0,0
21197131725,"Отходы (мусор) при уборке горных выработок добычи угля, содержащие преимущественно древесину",0,0,0,0,0,0
21200000000,Отходы добычи сырой нефти и природного газа,0,0,0,0,0,0
21210000000,Отходы добычи сырой нефти и нефтяного (попутного) газа,0,0,0,0,0,0
21210101313,Конденсат газовый нефтяного (попутного) газа,0,0,0,0,0,0
21210911393,Отходы сепарации природного газа при добыче сырой нефти и нефтяного (попутного) газа,0,0,0,0,0,0
21211124214,Отходы комовой серы при очистке нефтяного (попутного) газа,0,0,0,0,0,0
21212111314,Пластовая вода при добыче сырой нефти и нефтяного (попутного) газа (содержание нефти менее 15%),1,1,1,1,1,0
21217111393,Отходы зачистки сепарационного оборудования подготовки попутого нефтяного газа,0,0,0,0,0,0
21220000000,Отходы добычи природного газа и газового конденсата,0,0,0,0,0,0
21220111313,Эмульсия нефтесодержащая при очистке и осушке природного газа и/или газового конденсата,1,1,1,1,1,0
21220311394,Отходы очистки природного газа от механических примесей,0,0,0,0,0,0
